NEW CLASS SPREAD SHEET WITH CROSSVERSION MATCHING
"If you find errors on this sheet, plz put what it should be in the comments column. Don't edit the cell directly. Thx !"
,CLIENT,CLIENT,SERVER,SERVER,Comments
net.minecraft.src.recipe.RecipeSorter,go,gq,*,*,*
net.minecraft.src.recipe.RecipesTools,ee,ef,*,*,*
net.minecraft.src.recipe.RecipesWeapons,ov,oy,*,*,*
net.minecraft.src.RedstoneUpdateInfo,pi,pl,it,iw,*
Render,aq,aq,*,*,Base class for all renderers
RenderArrow,hk,hm,*,*,*
RenderBiped,m,m,*,*,*
RenderBlocks,bk,bk,*,*,*
RenderBoat,cy,cz,*,*,*
RenderChicken,fi,fj,*,*,*
RenderCow,np,ns,*,*,*
RenderCreeper,g,g,*,*,*
RenderEngine,fr,ft,*,*,*
RenderEntity,hj,hl,*,*,*
RenderFallingSand,dw,dx,*,*,*
RenderFireball,gi,gk,*,*,*
RenderFish,js,jv,*,*,*
RenderGhast,jv,jy,*,*,*
RenderGlobal,f,f,*,*,*
RenderHelper,l,l,*,*,Used by renderers to switch renderstates and also contains some other tool functions
RenderItem,af,af,*,*,*
RenderList,mh,mk,*,*,*
RenderLiving,ea,eb,*,*,*
RenderManager,mi,ml,*,*,All render classes are assigned to entity types here
RenderMinecart,md,mg,*,*,*
RenderPainting,ce,ce,*,*,*
RenderPig,hm,ho,*,*,*
RenderPlayer,cc,cc,*,*,*
RenderSheep,pm,pp,*,*,*
RenderSlime,hq,hs,*,*,*
RenderSnowball,ez,fa,*,*,*
RenderSorter,hl,hn,*,*,Used to sort rendering list from the position of the player relative to the object (front-to-back or back-to-front rendering?)
RenderSpider,qg,qj,*,*,*
RenderTNTPrimed,iy,ja,*,*,*
RenderZombieSimple,pu,px,*,*,*
net.minecraft.src.ScaledResolution,kh,kk,*,*,*
net.minecraft.src.ScreenShotHelper,ek,el,*,*,*
ServerCommand,*,*,an,an,Holds the server command and a reference to the command handler
ServerConfigurationManager,*,*,gn,gp,*
ServerGUI,*,*,gi,gk,*
ServerGuiCommandListener,*,*,y,y,*
ServerGuiFocusAdapter,*,*,aa,aa,*
ServerWindowAdapter,*,*,w,w,*
net.minecraft.src.Session,dy,dz,*,*,Stores username and session id
net.minecraft.src.model.SignModel,kt,kw,*,*,*
net.minecraft.src.inventory.Slot,dx,dy,*,*,Inventory slot base class
net.minecraft.src.inventory.SlotArmor,mv,my,*,*,Inventory slot used for the 4 equip slots for armor.
net.minecraft.src.inventory.SlotCrafting,ar,ar,*,*,Inventory slot containing the crafting result.
SlotInventory,oa,od,*,*,"Inventory slot for items, blocks, ... Also used for creafting matrix 2x2 & 3x3"
net.minecraft.src.audio.SoundManager,qb,qe,*,*,*
net.minecraft.src.audio.SoundPool,eq,er,*,*,*
net.minecraft.src.audio.SoundPoolEntry,al,al,*,*,*
net.minecraft.src.SpawnerAnimals,bg,bg,bv,bw,"Used to spawn creatures near to players. There are two instances, one which spawns animals and one (of the subclass) that spawns monsters."
net.minecraft.src.audio.StepSound,bi,bi,cc,cd,Sound type when walking on a block type
net.minecraft.src.audio.StepSoundSand,w,w,ag,ag,client side refers to gravel
net.minecraft.src.audio.StepSoundStone,y,y,ah,ah,client side refers to glass
net.minecraft.src.Teleporter,nj,nm,*,*,*
net.minecraft.src.TerrainTextureManager,nf,ni,*,*,*
net.minecraft.src.Tessellator,ip,ir,*,*,Draws vertexes
net.minecraft.src.texture.TextureCompassFX,ae,ae,*,*,*
net.minecraft.src.texture.TexturedQuad,mx,na,*,*,*
net.minecraft.src.texture.TextureFlamesFX,li,ll,*,*,*
net.minecraft.src.texture.TextureFX,ad,ad,*,*,"Base class for texture effects (lava, flames, compass, ...)"
net.minecraft.src.texture.TextureLavaFlowFX,ex,ey,*,*,*
net.minecraft.src.texture.TextureLavaFX,ba,ba,*,*,*
net.minecraft.src.texture.TexturePackBase,d,d,*,*,*
net.minecraft.src.texture.TexturePackCustom,ny,ob,*,*,*
net.minecraft.src.texture.TexturePackDefault,ji,jl,*,*,*
net.minecraft.src.texture.TexturePackList,fd,fe,*,*,*
net.minecraft.src.texture.TexturePortalFX,er,es,*,*,*
net.minecraft.src.texture.TextureWatchFX,gm,go,*,*,*
net.minecraft.src.texture.TextureWaterFX,nz,oc,*,*,*
net.minecraft.src.texture.TexureWaterFlowFX,iw,iy,*,*,*
ThreadCommandReader,*,*,by,bz,Get input from commandline
net.minecraft.src.threading.ThreadConnectToServer,ot,ow,*,*,*
net.minecraft.src.threading.ThreadDownloadImage,ml,mo,*,*,*
net.minecraft.src.threading.ThreadDownloadImageData,ck,ck,*,*,*
net.minecraft.src.threading.ThreadDownloadResources,bn,bn,*,*,*
ThreadLoginVerifier,*,*,dq,dr,Verify username/password at the minecraft.net website
ThreadMonitorConnection,*,*,il,io,*
net.minecraft.src.threading.ThreadRunIsoClient,mt,mw,*,*,*
ThreadServerApplication,*,*,bw,bx,Main thread of the server application
net.minecraft.src.threading.ThreadSleepForever,gf,gh,ca,cb,*
net.minecraft.src.entity.TileEntity,jf,jh,ay,ay,*
net.minecraft.src.entity.TileEntityChest,fx,fz,hx,ia,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
net.minecraft.src.entity.TileEntityFurnace,lo,lr,ds,dt,Implement gh (inventory classe). Class inheritance is stronger than interface implementations for the naming scheme.
net.minecraft.src.entity.TileEntityMobSpawner,bl,bl,ce,cf,*
net.minecraft.src.entity.TileEntityMobSpawnerRenderer,u,u,*,*,*
net.minecraft.src.entity.TileEntityRenderer,gw,gy,*,*,*
net.minecraft.src.entity.TileEntitySign,px,qa,ji,jl,*
net.minecraft.src.entity.TileEntitySignRenderer,jt,jw,*,*,*
net.minecraft.src.entity.TileEntitySpecialRenderer,fp,fq,*,*,*
net.minecraft.src.Timer,jy,kb,*,*,Used to profile the game for performance stats
net.minecraft.src.error.UnexpectedThrowable,ho,hq,*,*,*
net.minecraft.src.datatype.Vec3D,ao,ao,bc,bd,"A Vector consisting of 3 doubles, with helper functions. Name Vec to avoid clash with java.lang.Vector"
net.minecraft.src.block.World,cw,cx,em,eo,Manager class for the world (only used directly on the client for singleplayer)
net.minecraft.src.world.WorldBlockPositionType,mn,mq,*,*,Stores block positions and types
net.minecraft.src.world.WorldChunkManager,pj,pm,iu,ix,*
net.minecraft.src.world.WorldChunkManagerHell,eg,eh,gc,ge,*
net.minecraft.src.world.WorldClient,hs,hu,*,*,net.minecraft.src.block.World on the client for multiplayer
net.minecraft.src.world.WorldGenBigTree,fa,fd,ha,hc,Grows big trees
net.minecraft.src.world.WorldGenCactus,dl,dm,fg,fi,*
net.minecraft.src.world.WorldGenClay,hv,hx,g,g,*
net.minecraft.src.world.WorldGenDungeons,co,co,dx,dy,Generates dungeons
net.minecraft.src.world.WorldGenerator,jo,jr,bi,bj,Base class for world generators
net.minecraft.src.world.WorldGenFire,ph,pk,is,iv,*
net.minecraft.src.world.WorldGenFlowers,aj,aj,aw,aw,Generates flowers and mushrooms
net.minecraft.src.world.WorldGenHellLava,kb,ke,bq,br,*
net.minecraft.src.world.WorldGenLightStone1,dr,ds,fl,fn,*
net.minecraft.src.world.WorldGenLightStone2,lk,ln,do,dp,*
net.minecraft.src.world.WorldGenLiquids,pe,ph,ip,is,Generate water and lava
net.minecraft.src.world.WorldGenMinable,dd,de,ev,ex,"Generates dirt, gravel, coal ore, iron ore, gold ore, redstone ore and diamond ore in underground"
net.minecraft.src.world.WorldGenPumpkin,os,ov,id,ii,*
net.minecraft.src.world.WorldGenReed,fk,fl,hf,hh,*
net.minecraft.src.world.WorldGenTrees,pv,py,jd,jh,Grows normal trees
net.minecraft.src.world.WorldIso,mu,mx,*,*,Derived world class for Isometric preview applet
WorldManager,*,*,eq,es,*
net.minecraft.src.world.WorldProvider,ou,ox,ig,ij,*
net.minecraft.src.world.WorldProviderHell,oh,ok,hm,hp,*
net.minecraft.src.world.WorldRenderer,bv,bv,*,*,*
WorldServer,*,*,et,ev,Server world manager
